title,tags,source,created
超实用【口语化】词语对照表,clippings | 语料库,https://mp.weixin.qq.com/s/hokHA3QupbKRRIz_pOFfPg,2026-09-11
网络黑话（梗）应用翻译手册｜一表通览，全网最全最实用,clippings | 语料库,https://mp.weixin.qq.com/s/dNBGLUH2iOQ5BogV8eP5Qw,2026-09-11
日常普通话口语100句（1）,clippings | 语料库,https://mp.weixin.qq.com/s/Fvf9A03Cm4sXwDQ2ZvdlKg,2026-09-11
如何快速学会说“哲学黑话”,clippings | 语料库,https://mp.weixin.qq.com/s/Jg76H5soHQ_YOIvzK62TGg,2026-09-11
互联网大厂黑话合集,clippings | 语料库,https://mp.weixin.qq.com/s/cOZr525qiXQ-afwe19NkGQ,2026-09-11
一个人无论多老实，只要背熟这30句人性黑话，没人敢欺负你！,clippings | 语料库,https://mp.weixin.qq.com/s/dnbW0tdNLZL8tVV3rd8Z0w,2026-09-11
【口语化】表达词语对照表，让你说话亲切、自然，不生硬,clippings | 语料库,https://mp.weixin.qq.com/s/KPJyDl-5ODeTbh8HluOFWg,2026-09-11
“🪴人吶 聊天你要会点梗”｜搞笑版,clippings | 语料库,https://mp.weixin.qq.com/s/fJCs7BwGU1QspRO29_ZQGQ,2026-09-11
“🪴00后社交流行语黑话”｜收藏,clippings | 语料库,https://mp.weixin.qq.com/s/nSG23PXI62D_BJ689ouWxQ,2026-09-11
"wordflowlab/article-writer: 使用Claude Code，Cursor, codex, gemini 写微信公众号文章工具。",clippings | skill | 公众号 | 写作,https://github.com/wordflowlab/article-writer,2026-09-11
snowles/own-style-writer,clippings | skill | 风格 | 写作,https://github.com/snowles/own-style-writer,2026-09-11
liyupi (程序员鱼皮),clippings | github,https://github.com/liyupi,2026-09-11
alchaincyf/huashu-skills: 花叔全部开源 Agent Skills 总目录：16 旗舰 + 14 人物视角 + 22 内置共 52 个 skill，分层分类 + AI Agent 安装协议 + 机器可读 skills.json + 更新检查机制,clippings | skill | github | skill大全,https://github.com/alchaincyf/huashu-skills,2026-09-11
alchaincyf/huashu-md-html: md/html 双向流水线 · 三个能力一站式：万物→md / md→精美html / html→md。封装 markitdown + Pandoc + html-to-markdown + trafilatura。4 套反 AI slop 主题。Claude Code skill.,clippings | skill | html,https://github.com/alchaincyf/huashu-md-html,2026-09-11
2026 最强 71 个 AI Skill 开源项目合集｜人格蒸馏 + 名人复刻 + 职场神器 + 赛博玄学全收录,clippings | skill | 蒸馏,https://mp.weixin.qq.com/s/F_ju0Vmw645e8IK9eeRPfw,2026-09-11
150则单人脱口秀段子文案合集，近九千字，每一句都述说人生！,clippings | 语料库,https://mp.weixin.qq.com/s/ilfwiKceMSXenQzPCO37Xw,2026-09-11
🚀 现代化终端配置指南 - Ghostty + Zoxide + Yazi + Oh-My-Zsh,clippings | ghostty配置,https://gist.github.com/lltx/a61f98fdb761c9af7c5fd6cbfe963842,2026-09-10
用了终端将近十年，试了 Ghostty 才知道亏了多少-51CTO.COM,clippings | ghostty配置,https://www.51cto.com/article/842877.html,2026-09-10
手机上终于有个能打的 AI Agent，太夯了！,clippings | AI-agent | github | llm,https://mp.weixin.qq.com/s/u5YnPHort3YdekiZYURBzw,2026-09-10
kunpengtalk/OmniStudio: OmniStudio 是一个本地大模型一体化桌面工作台（Electrobun + React），集模型市集下载、llama.cpp/vLLM/SGLang 三引擎推理管理，以及对话、语音、图片、OCR 四大应用于一体，全程本地优先。,clippings | vllm | github,https://github.com/kunpengtalk/OmniStudio,2026-09-10
justhalfbit/ghostty-terminal-config: macOS 终端美化配置：Ghostty + Starship + zsh 插件（从 iTerm2 + oh-my-zsh 迁移的轻量方案）,clippings | ghossty配置,https://github.com/justhalfbit/ghostty-terminal-config,2026-09-10
Ghostty + Starship + Antidote 现代终端配置,clippings | ghostty配置,https://www.liuvv.com/p/4fc68e9a.html,2026-09-10
面向智能体的 Skill 设计原则：流程归 Skill，事实归系统,clippings | 智能问数 | text2sql | bi | skill,https://mp.weixin.qq.com/s/TpxCzOgw2SdxP0LMqmtdwg,2026-09-09
这款 Skill 是怎么把测试“左移”落地的？,clippings | AI-test | skill | github,https://mp.weixin.qq.com/s/S6bjF42jqv_OlW_QaJ6vVw,2026-09-09
这个 Skill，测试人真的可以装一个,clippings | github | AI-test | skill,https://mp.weixin.qq.com/s/Mu22mP6FtuSoEBVphi4vwA,2026-09-09
语义原生智能问数系统落地实现（五）：同一套语义如何服务 Agent、Dashboard 与 ML Pipeline,clippings | 智能问数 | text2sql | bi,https://mp.weixin.qq.com/s/7lSnKA_0iuXckiNu65DkFA,2026-09-09
评测Agent的流程分析,clippings | agent-test | eval | todo,https://mp.weixin.qq.com/s/zX78N3AGpbpbB4cBcymMYQ,2026-09-09
自动化测试：先决定什么值得自动化，再选择工具与框架,clippings | AI-test,https://mp.weixin.qq.com/s/XBvWlO9d04RDnPUkQn3e9w,2026-09-09
移动端日志分析与测试平台建设：10个值得研究的开源项目,clippings | AI-test | app-log | UI-test,https://mp.weixin.qq.com/s/mkBVvsNsBxT47lxYY6MWjg,2026-09-09
测试人真正能用的 AI Skill 推荐（下篇）：让 Agent 打开浏览器，再用 Trellis 管住流程,clippings | AI-test | skill,https://mp.weixin.qq.com/s/s-ue4r-FT7S2sRKPAVcHvw,2026-09-09
测试人真正能用的 AI Skill 推荐（上篇）：让 AI 按测试思路干活,clippings | AI-test | skill,https://mp.weixin.qq.com/s/3YxTSabmD-hCwDDi2VUBsA,2026-09-09
智能问数语义层框架：Cube Core 介绍,clippings | 智能问数 | text2sql | bi,https://mp.weixin.qq.com/s/qKa5FrcVhlZlHt0jsUfkmQ,2026-09-09
智能问数系统如何做回归测试,clippings | 智能问数 | text2sql | bi | todo,https://mp.weixin.qq.com/s/iPzTOOPAFBH1mROQInglcQ,2026-09-09
智能问数技术路线与选型,clippings | 智能问数 | text2sql | bi,https://mp.weixin.qq.com/s/03bGPfs3Mc2zZMtI1-DyRw,2026-09-09
开源AI测试提效工具推荐，总有一款适合你,clippings | AI-test | github | tool | AI-tool,https://mp.weixin.qq.com/s/n9D3aByo4f5dU56arPpInA,2026-09-09
字节跳动质量保障团队｜让 QA 真正用起来：测试用例生成 Agent 落地，我们做对了什么,clippings | AI-case,https://mp.weixin.qq.com/s/oTvXpShEeJT02lHWEtiNGw,2026-09-09
如何评估企业是否适合上线智能问数,clippings | 智能问数 | text2sql | bi,https://mp.weixin.qq.com/s/_YSMQ6B9RoZi9nSnZBgtNA,2026-09-09
如何根据代码变更，快速判断测试影响范围？,clippings | code-review | github | skill,https://mp.weixin.qq.com/s/NOzsJXAXhX0_3gqlfhtlCA,2026-09-09
如何构建 AI Agent Harness 2.0，让 AI Agent 比 99% 的开发者更工程化,clippings | agent-harness | agent,https://mp.weixin.qq.com/s/fchf3EnVu_GwRjlpEc95Gw,2026-09-09
基于472条评论的智能问数落地讨论分析,clippings | 智能问数 | text2sql | bi,https://mp.weixin.qq.com/s/idZB6HRxvgAps-qjYRneGg,2026-09-09
别用 AI 盲目生成用例，换个测试方式吧,clippings | AI-case,https://mp.weixin.qq.com/s/A7ey9y3NHbwDEw_uhKuMnA,2026-09-09
关于埋点校验，这个skill可以救一下,clippings | 埋点,https://mp.weixin.qq.com/s/ejHQkcaXb6qAym6QSr72tQ,2026-09-09
企业智能体分类与落地难度分析,clippings | agent-test | agent分类,https://mp.weixin.qq.com/s/hBch5E2ArUIYxFEPExykOg,2026-09-09
企业 Agent 的统一语义模型方案,clippings | 智能问数 | text2sql | bi,https://mp.weixin.qq.com/s/KMuJsC-6P-ngBt9pIsS-7w,2026-09-09
从零搭一个 Agent Eval Harness：Task、Environment、Trial、Trajectory 与 Grader,clippings | agent-test | eval | todo,https://mp.weixin.qq.com/s/qReOgctUwRMHB-ojE6cyNw,2026-09-09
什么是语义层：从 BI 到智能问数，它到底解决了什么问题？,clippings | 智能问数 | text2sql | bi,https://mp.weixin.qq.com/s/X22y5prez7OMNLlyAF6JRA,2026-09-09
一个测试开发转AI应用开发的真实学习路线,clippings | AI-test,https://mp.weixin.qq.com/s/gTlb_HGFoYYRrh4raPrk5g,2026-09-09
一个 Web UI 自动化测试 Skill,clippings | UI-test | skill,https://mp.weixin.qq.com/s/1sjMBv7tyyeYgiwTssr5kA,2026-09-09
【智能体评测指南大全】构建可观察、可评估、可进化的Agent质量体系,clippings | agent-test | eval | todo,https://mp.weixin.qq.com/s/nr5NXYMb_sXAEjMmlwXnsQ,2026-09-09
【智能体测评-番外】测评之前：让智能体可测的工程准备,clippings | agent-test | eval | todo,https://mp.weixin.qq.com/s/fWG5WnxBuD-ux7wtnsTQug,2026-09-09
harbor-framework/harbor: Framework for evaluating and improving agents,clippings | agent-test | eval | Harbor框架,https://github.com/harbor-framework/harbor,2026-09-09
Hook 与测试的“工程闭环”,clippings | hook | AI-test,https://mp.weixin.qq.com/s/_lBJuYlip5LBELbdxdf7Yg,2026-09-09
Cube 中文教程站已上线：为什么智能时代更需要语义层？,clippings | 智能问数 | text2sql | bi,https://mp.weixin.qq.com/s/VhFtIQvzxXKr2lpb0m8mWQ,2026-09-09
Agent评测：可在任何团队落地的Badcase的实践流程,clippings | agent-test | eval | badcase,https://mp.weixin.qq.com/s/DYnyUNd5FQxyrkgDFzDfDw,2026-09-09
AI测试应用于移动端，有哪些开源方案值得看,clippings | UI-test,https://mp.weixin.qq.com/s/VlEPrEryNojsEYpiNFzcog,2026-09-09
AI测试对话式评估：测LLM多轮不能只看单轮问答,clippings | agent-test | eval,https://mp.weixin.qq.com/s/SzlunyJLVuUvXDEcxFNO1w,2026-09-09
AI改代码快如闪电，传统测试崩了？试试JiTTesting！,clippings | skill | AI-test,https://mp.weixin.qq.com/s/pca8KHNpiPN5XIxYjIogIg,2026-09-09
AI 测试脚本跑到一半额度不够了，应该怎么兜底？,clippings | AI-test,https://mp.weixin.qq.com/s/v1udkLhX3AjjNnmKHkBMNQ,2026-09-09
AI 怎么做性能测试呢？,clippings | AI-perf | locust,https://mp.weixin.qq.com/s/dpbxyYTTL4mrphvfv_gnYg,2026-09-09
315KB 变 5.4KB：context-mode 让 Agent 不再失忆,clippings | llm | context,https://mp.weixin.qq.com/s/DmWCM54mT8ojacyq2eofhw,2026-09-09
驾驭AI Coding：一份面向团队的Harness Engineering落地规范,clippings | AI-coding | harness,https://mp.weixin.qq.com/s/g4nTfxm7ebzRwkAVIGdIbg,2026-09-08
评测Agent的流程分析,clippings | agent-test | eval,https://mp.weixin.qq.com/s/zX78N3AGpbpbB4cBcymMYQ,2026-09-08
评测Agent的流程分析,clippings | agent-test | eval,https://mp.weixin.qq.com/s/zX78N3AGpbpbB4cBcymMYQ,2026-09-08
给 Agent 加一套可观测性：trace、健康检查与遥测,clippings | agent-test | eval,https://mp.weixin.qq.com/s/gVRTTaLUw8Ol41b4EY83Gw,2026-09-08
第十一课：AI模型评估与测试方法,clippings | agent-test | eval,https://mp.weixin.qq.com/s/hb0KOt48o9iXYUeT42Edtg,2026-09-08
第一次用 Pi：安装、 模型、配置目录与 Skills 入门,clippings | pi,https://mp.weixin.qq.com/s/22t-medODSfyZz0mX1dPMg,2026-09-08
测试数据生成：系统覆盖正常、边界、异常与权限场景,clippings | agent-test | eval,https://mp.weixin.qq.com/s/IxTfBPcot5go29_mfPv39A,2026-09-08
如何判断一个 Agent 评测工程师是否真的懂评测？,clippings | agent-test | eval,https://mp.weixin.qq.com/s/THeRsMD3EWy9HHOwT0MWnQ,2026-09-08
别被概念骗，Ontology 本体论 RAG 其实很简单，大白话  就是 DDD 、OOD 加 RAG,clippings | agent-test | eval,https://mp.weixin.qq.com/s/hbitrCRn1PaxOKSLQ61tyQ,2026-09-08
别再拿几个Case评Agent了：真正的评测是两套Loop,clippings | agent-test | eval,https://mp.weixin.qq.com/s/pb-L1yCnsyyLfhHSs4gVCg,2026-09-08
全栈 AI Agent 从 0 到 1 ：智能播客平台开发全记录,clippings | agent-test | agent-AI,https://mp.weixin.qq.com/s/IGSAgptmQ-ZDurI-pnhdog,2026-09-08
从一次 LLM 调用到完整 Harness，Agent 到底经历了什么？,clippings | agent-test | todo | agent,https://mp.weixin.qq.com/s/kZZac-VBgnQIZeookE9Y8g,2026-09-08
从0到1开发一个Agent（智能体）框架,clippings | agent-test,https://mp.weixin.qq.com/s/fsCmZ2oQ4Xc261CLldowGA,2026-09-08
一种可实施的Skill评测实践方法,clippings | skill | eval,https://mp.weixin.qq.com/s/hr2g2IrV-Pg35AfVY7MWsA,2026-09-08
【智能体测评-10】生产环境的Agent可观测性与持续测评,clippings | agent-test | eval,https://mp.weixin.qq.com/s/ffpEHKM3rMZje12FY3ZCmA,2026-09-08
【智能体测评-09】三类典型场景的测评方案：Coding Agent、客服Agent、深度研究Agent,clippings | agent-test | eval,https://mp.weixin.qq.com/s/XhhJona_k-b9qoBOqEqO0w,2026-09-08
【智能体测评-08】动手搭一套Agent测评流水线：开源工具链实战,clippings | agent-test | eval,https://mp.weixin.qq.com/s/3vVml5gRIcClw-7yzo6BSA,2026-09-08
【智能体测评-07】自建测评集方法论：别再拿20条case自欺欺人了,clippings | agent-test | eval,https://mp.weixin.qq.com/s/eTxuTg_8rKI638hwi_k0Xg,2026-09-08
【智能体测评-06】轨迹测评：不只看做没做成，还要看怎么做的,clippings | agent-test | eval,https://mp.weixin.qq.com/s/LscLKTFden8RkTuIH8pSdg,2026-09-08
【智能体测评-05】LLM-as-Judge的可靠性问题：让模型当裁判到底靠不靠谱,clippings | agent-test | eval,https://mp.weixin.qq.com/s/XAibRxCCSIvJ7VSpHuOFNg,2026-09-08
【智能体测评-04】主流Agent Benchmark全景拆解：GAIA、SWE-bench、WebArena、τ-bench、BrowseComp到底在测什么,clippings | agent-test | eval,https://mp.weixin.qq.com/s/835jgbc_3ZK4EoT_rwdixQ,2026-09-08
【智能体测评-03】测评的四个层次：从单元测试到生产观测,clippings | agent-test | eval,https://mp.weixin.qq.com/s/6fnlltRuwoYzVDmEZNHfgQ,2026-09-08
【智能体测评-02】Agent失败分类学：智能体是怎么把事情搞砸的,clippings | agent-test | eval,https://mp.weixin.qq.com/s/i1lVK-WKhMLWCXJ3RHVdKQ,2026-09-08
【智能体测评-01】从模型跑分测到智能体测评的范式断裂,clippings | agent-test | eval,https://mp.weixin.qq.com/s/aLLY9wXXzpmN6f-OeJa4Rw,2026-09-08
【智能体测评-01】从模型跑分测到智能体测评的范式断裂,clippings | agent-test | eval,https://mp.weixin.qq.com/s/aLLY9wXXzpmN6f-OeJa4Rw,2026-09-08
【智能体测评-00】我们的智能体测评体系：总纲,clippings | agent-test | eval,https://mp.weixin.qq.com/s/pNgZj43K-7Cw3LPs_znVsg,2026-09-08
Harness自进化真的有效吗？提升可能只是「多试了几次」,clippings | harness | eval,https://mp.weixin.qq.com/s/y4Mn1mne5oPtgNoQfGdXZQ,2026-09-08
"Google WikiSkill：给智能体的技能进化补上\""知识管理层\",clippings | wikiskill | llm-wiki,https://mp.weixin.qq.com/s/C1Q6QSMaF0M3-81Rb7tehg,2026-09-08
GPT-6有感:硅基劳动者时代来了,clippings | AI-认知,https://mp.weixin.qq.com/s/qLB-7aj2s0PGVTJ1twAbMA,2026-09-08
Agent正确率从26%飙到70%，最近爆火的EvoX有东西啊,clippings | agent-test | eval,https://mp.weixin.qq.com/s/BrhHRQRJe52nFJm7_wmzEw,2026-09-08
Agent 评测：方法论与体系设计,clippings | agent-test | eval,https://mp.weixin.qq.com/s/7a2L-GatYYwI6s1uK9mTjA,2026-09-08
Agent 评测：方法论与体系设计,clippings | agent-test | eval,https://mp.weixin.qq.com/s/7a2L-GatYYwI6s1uK9mTjA,2026-09-08
Agent 自进化落地的四层实战架构设计指南,clippings | skill | eval,https://mp.weixin.qq.com/s/wU-sSk_4SmJ03dhPEAKBeQ,2026-09-08
Agent 开发到底做什么：Agent、Harness 基础概念,clippings | agent-test | eval,https://mp.weixin.qq.com/s/_UWj5NeB2jkGi2qLEL1T4Q,2026-09-08
2小时速通 Harness 工程：如何从零搭一套Claude Code智能体系统,clippings | agent-test | eval,https://mp.weixin.qq.com/s/WTD0TEKn0h_vjgNR1WGSxQ,2026-09-08
2026 年最好的 Agent 框架：LangGraph vs OpenAI Agents SDK vs Claude Agent SDK,clippings | agent-sdk,https://mp.weixin.qq.com/s/9own4Wr2xN2AyyDahb-2fw,2026-09-08
质量工作台 dsh-qa：把 AI 测试工作台装进 DeepSeek Harness,clippings | dsh | plugin | qa,https://mp.weixin.qq.com/s/AYBvcQXhB_C9D7AYWRbBMA,2026-09-07
nyakang/nyaterm: A modern remote terminal workspace,clippings | github | ssh,https://github.com/nyakang/nyaterm/blob/main/README.zh-CN.md,2026-09-07
"NyaTerm, 源于但不止于 WindTerm",clippings | github | ssh,https://mp.weixin.qq.com/s/Snqi0cQ_bAVlECZzyPnMug,2026-09-07
Agent测试第四篇：Tool Calling 测试——别让 Agent 拿着工具“乱拧螺丝”,clippings | agent-test | eval | todo,https://mp.weixin.qq.com/s/q4QHl4QXThE4UeTs1hooaw,2026-09-05
Agent到底怎么测？别只盯着最终答案，很多Bug藏在过程里,clippings | agent-test | eval | todo,https://mp.weixin.qq.com/s/4vCnDHHYR1K3sMnj3-EtAw,2026-09-05
AI 智能体评测体系架构设计与落地实践,clippings | agent-test | eval | todo,https://mp.weixin.qq.com/s/Wu3uQKzet7U2Ab0YcVVH6Q,2026-09-05
阿里开源 skill-up：Agent Skill 终于不用“凭感觉”发布了,clippings | github | skill,https://mp.weixin.qq.com/s/vRddpga0ws06L7vd_svOlw,2026-09-04
刚刚，全球最强GPT-6 Astra来了！人类进入AGI时代,clippings | AGI,https://mp.weixin.qq.com/s/UXYa2sY-Nj8OCInEZm_DSA,2026-09-04
"GitHub开源神器：告别""AI味""网页！这个6k+Star项目内置25种高级风",clippings | skill | AI味,https://mp.weixin.qq.com/s/kwqHS33aXYXcep5zUSx3ew,2026-09-04
GPT-6 Astra全面解析 - “欢迎来到AGI时代。”,clippings | AGI,https://mp.weixin.qq.com/s/1R4vSUmjFUINxFbfJLOXng,2026-09-04
Codex 测全流程：纯小白从 0 开始做 AI 辅助测试,clippings | AI-test | codex,https://mp.weixin.qq.com/s/7eT2vx8XZLSocQNMn-Wd6g,2026-09-04
AI 测试用例越写越偏？如何用Codex引导AI进行持续测试评审？,clippings | AI-test | codex,https://mp.weixin.qq.com/s/wYinGxy8ASjX9pAzH43CHw,2026-09-04
41.1K+ Star！ humanizer：一个将AI生成文本改写为自然人类风格的Markdown技能,clippings | skill | AI味,https://mp.weixin.qq.com/s/4CK6l8IT1i6xUFbB_fqO0A,2026-09-04
2026 年最好的 Agent 框架：LangGraph vs OpenAI Agents SDK vs Claude Agent SDK,clippings | agent-sdk,https://mp.weixin.qq.com/s/9own4Wr2xN2AyyDahb-2fw,2026-09-04
"labuladong/fucking-algorithm: Crack LeetCode, not only how, but also why.",clippings | github | learning,https://github.com/labuladong/fucking-algorithm/blob/master/README.md,2026-09-03
OpenGUI/deepseek-harness-plugin/docs/use-cases.zh.md at main,clippings | dsh | UI-test | opengui,https://github.com/Core-Mate/OpenGUI/blob/main/deepseek-harness-plugin/docs/use-cases.zh.md,2026-09-03
让AI改项目不越改越乱，我固定会放这4个文件,clippings | agent-md,https://mp.weixin.qq.com/s/_8VSoeKhAKn2xQCqSlbnkw,2026-09-02
第五章：Code Review 与 Verification Agent —— AI 如何审查 AI，如何避免“自己写、自己通过”的问题,clippings | code-review,https://mp.weixin.qq.com/s/qj-ac6mW809wUPeoKkz8Lw,2026-09-02
第11篇：Agent 评估方法 —— 拿数据说话,clippings | agent-test | eval | todo,https://mp.weixin.qq.com/s/6E6FnBEoGIoAwadEd6GhIA,2026-09-02
zg 正式开源：本地检索，不止于关键词,clippings | rag,https://mp.weixin.qq.com/s/WFE5TmKetIagHIVujhKGFg,2026-09-02
deepseek harness补齐七大插件堪称自己本地的codex，优质踩坑分享，最后一个我最爱,clippings | dsh | plugin,https://mp.weixin.qq.com/s/0shbm4ZS_mpW1tdYyBo6sg,2026-09-02
Agent评测之一步一坑（新手常见问题）,clippings | agent-test | eval,https://mp.weixin.qq.com/s/XZp39pOwNsu1xFEX7CgGsg,2026-09-02
AI Graph工程（06）—— 研发流程实战：从需求到上线，Graph 工程怎么用,clippings | agent-test | todo | graph,https://mp.weixin.qq.com/s/9-8uE2QHjIPZCbIDeIhA7Q,2026-09-02
这个DeepSeek插件，能同时操作十几台手机！夯爆了,clippings | agent-test | eval | todo | dsh,https://mp.weixin.qq.com/s/XacIWPD40wBryFAyh1smuQ,2026-09-01
烧了一万块API后，我找到了同时适用于Fable5和GPT5.6的AI工作流,clippings | LLM,https://mp.weixin.qq.com/s/hhhKsHLtLY_OIU_T6idNhA,2026-09-01
